"","GSM492649","GSM525014","GSM525015","GSM525016","GSM492653","GSM492654","GSM492655","GSM492656","GSM533622","GSM533623","GSM533624","GSM533625","GSM533626","GSM533627","GSM533628","GSM533629","GSM533630"
"KIF13B",135.537362165231,138.740812531253,107.48044420127,355.096088261978,137.660588230158,136.10179291389,140.098094965575,172.125568737076,166.123245827948,236.795686807517,218.319992704402,89.7867643350008,149.772629761017,111.138065737974,204.8314510674,215.083366901064,202.319943132451
"FAM13A",216.646589335956,740.128670642048,776.910542322309,575.264658493388,616.278068115433,430.681180495854,552.287257787948,531.462791153733,779.422692282308,491.929084911487,403.808242543841,549.753919018521,392.310231969231,408.797470003002,540.705387014395,516.831451067394,416.714154102518
"MPP1",221.914983442287,527.819198689453,603.822070175553,520.705147172075,210.703441404806,202.364355325941,225.030738299923,200.30469328685,216.029295071066,226.923656771968,213.081560425868,163.759899828901,250.125568714452,211.980270094248,350.228976865768,206.420323153352,304.041628732487
"HLTF",181.828721021091,489.273551127417,625.394814325338,646.799857644422,603.002675232583,358.212703800726,564.13518111117,625.555001485492,822.260704855017,445.3467994982,422.184392243864,567.06022597999,446.148288197733,569.784383719164,469.449098126216,515.72307508115,163.251231863455
"ARNT2",469.646109826378,832.348058604309,923.27893538903,814.256371377971,890.641205282657,781.713936040559,729.390551798206,1039.29247524704,727.346547548367,740.95039027062,558.007921655629,538.691075309246,786.70413791357,778.831451067393,1183.3608628321,752.216189219367,896.544450451629
"PYGL",40.7824790935899,61.6830841442273,119.554039964087,110.364977625576,114.430980077445,90.6827761711239,110.911944365197,71.4150315031251,126.33621434478,65.0246748402379,168.555552828145,99.541017274935,92.8486069145127,53.6669479787115,74.1052184527407,63.7598987895161,80.866251249862
"STARD3",68.9270261267964,82.8591836076898,80.3481382198783,93.078376224028,83.9841426444167,91.9016617112045,96.133212023521,95.6044480816466,94.6051730258966,129.389927767148,89.0957446648953,68.074676674752,118.740568898793,105.562851660417,106.832417380981,100.9332440304,106.245335624817
"ILVBL",70.4173674388791,161.633495524019,165.581718124176,194.505743844661,172.715710809561,101.816557928471,165.054618614973,136.009612295408,139.419700594371,212.233902359976,185.093686470735,169.1026449694,159.247721452258,212.958466655253,184.406584095787,180.791187235657,306.311461430845
"POLD4",178.360862837839,194.458351505103,157.324887773966,229.438547320559,198.747546513142,174.761689340507,197.319876943301,157.194696711503,178.779467724075,182.413610858482,166.831451140708,110.303262776897,230.486533871646,212.861120861524,175.754257070001,181.362774289496,246.899873477213
"STMN2",2881.06674518504,3754.92638403548,3804.86715149844,2633.6161017241,856.536198280175,790.323107668738,46.4099691416136,518.186569986917,37.442016158679,274.919298996633,32.4034918830923,28.5407621145935,207.218978318179,538.010422553185,2353.71552129214,226.577552034101,660.101806645279
"AMOTL2",154.831146810932,335.580871872675,338.986340712471,660.75821974757,317.630374374972,294.82309194133,439.597595046682,384.852790401621,414.243215773275,279.63852448399,140.224875163079,245.138493832392,545.302039302687,913.009171553165,319.472469438142,264.890274596805,707.437233703015
"MEF2D",89.2820285380015,75.3148729311767,72.1730484487903,88.3177034576187,76.7178077446589,80.6010551323708,72.9714819070718,86.4156457462035,68.1250916799993,73.1684768027233,75.3148729311767,55.9993378161168,75.3148729311767,106.577986727501,77.6436385575022,52.9217385182114,92.9049666913201
"STAT5A",84.3305579478575,98.6016656365427,83.9202846352891,105.376084488743,91.1977965094883,97.26364263531,134.377182724999,95.1273545699639,91.1977965094883,94.6038715247381,117.822388766658,104.628330998463,88.2634970464204,88.2572098260664,89.0954481636267,83.56804531383,88.8586142339282
"IMPA1",357.06674518504,792.65225139144,911.672410873965,849.342455211363,410.774730530291,459.497969244212,546.452787049234,936.795395815121,725.717021400037,499.184392243863,874.85011935571,637.873203276742,592.942623086192,301.448958173295,670.750888963535,593.584690574864,298.108929483443
"RPL23A",4930.60637123006,8685.53733342034,9692.80776546547,11075.4196863615,7806.07732133589,8934.91420210199,9563.61337131923,8598.68386283501,8332.24321577328,7834.53104087323,7485.68370118155,6345.02526860635,8081.95771032615,8969.91773789225,7503.79450903246,8854.77178370723,9409.79387490979
"ECD",136.663929729825,168.066745239893,167.51025002715,156.243216454613,131.699403851238,113.949859521439,126.195490366639,114.379109031602,132.890319944008,139.703614626896,132.386067084333,131.769115437224,165.419371010034,148.105114023273,121.324425175007,161.549340973887,212.430823320018
