"","GSM506013","GSM506014","GSM506019","GSM506020","GSM506023","GSM506015","GSM506016","GSM506017","GSM506018","GSM506021","GSM506022"
"C22orf46",55.7779936433603,18.8638775183827,57.1364419377231,36.0755747779655,36.2962008778386,15.3199851971321,53.9523250065208,39.0492974681156,73.493062921611,96.1526082440167,8.89900142928373
"SYNDIG1",418.525672926523,240.109937831364,360.773447207937,427.778215481015,343.820308540499,340.57634377014,260.182913195847,298.125038490879,261.053372475632,342.890022554844,437.079793640955
"ZBTB10",17.437436309543,10.859374460688,14.3104703632397,0.890702964308612,3.41387862734362,25.4316789810183,20.3735246796596,8.51508536022198,16.7546707041074,17.9035750724927,12.0050076893613
"GRAMD1C",48.2739315421518,44.7945962680245,35.9546684768875,6.50170528391854,58.1798081133849,61.8814559770497,75.7125617541313,17.1051421222629,98.1148980684496,38.437960951348,54.2318213206253
"ZNF219",24.1596363489395,80.0502196841047,66.094034912412,82.3810691076187,47.0147154172765,72.3847497879663,95.7755922944992,55.0108871689925,88.1909929679777,48.85416359786,131.758891180051
"TMEM204",134.080337756028,165.411033763456,163.440402495038,184.377432108659,107.271549009493,171.32044656911,147.812904678316,196.202168242396,185.855895377492,171.817707058333,141.237468124443
"FLVCR2",16.6619625710951,18.9839119704451,8.28296907949168,13.3182587634755,17.1165542386562,48.8945562083321,9.93097160799772,8.13590792621808,43.2441063148077,33.7816105628158,49.7377662815502
"POLI",43.223354811107,42.3997080568707,50.8137357322921,3.23336007806888,32.3491442753416,24.2529663163145,36.4975301031062,24.641084909204,28.7596120098658,55.7094264494032,21.0752379691507
"MED31",57.5804386602166,43.524760926722,46.094782110941,30.9011298269436,36.4813954613102,35.3475910192838,46.9077049294303,60.7848290904831,79.0631130958914,52.9645367225207,43.4094717654749
"MYO19",28.2322543522314,46.5058586711611,37.2554372999295,107.071437317302,62.2237473320307,40.0816612853987,16.1179624444846,81.6298121410406,29.3558135850656,38.4488385706947,16.2778801488898
"MPP5",65.264541795714,41.1232503721855,81.3435419262154,61.0944740560157,85.1722137478655,63.1280164175551,86.8813494535369,46.7177194410153,59.9198624892681,106.766940190958,41.7392429426772
"WRAP73",22.9963161790102,19.5880213329139,44.0391937246128,30.0724937250694,33.72464706198,9.39009487072303,49.5856545433568,45.1223600748508,24.2301846852308,39.3995576796532,7.60720831045703
"IL18BP",29.7772195111031,48.7937974862112,34.6079746200273,25.3348965103511,12.706302439291,9.31730940420162,45.8331561044524,12.5733361769579,60.2577972504684,14.4861280656978,19.3665593124828
"ELAC1",31.7745874374328,15.1923487377046,20.5876364634178,9.00998963484986,36.9699672624536,21.8585497046843,12.0319429536286,24.6539811501535,9.49482425583526,19.1238545152299,27.7705536994671
"B3GNT2",69.0887558888153,54.78609271687,60.2160629494913,84.0668135542924,62.6587410206752,46.1249460970071,38.8825244687824,105.060474729555,53.9877779525277,68.997270801233,69.575100301928
"GPRC5C",42.1522748500402,71.4232802489691,42.6100338045801,33.8918069396258,58.5321431934436,53.7825309161274,43.3955695540011,69.2502036062801,77.4810231059745,12.2829450159418,60.3529451689506
"DDX31",9.00062075687786,13.7033719182334,9.632635952336,28.5497440160915,11.2863477009632,9.53314720550015,13.9226568300398,9.43101619917392,11.8647007764582,22.4417010638079,7.59047034253342
"ATRAID",234.065159723754,353.84613780667,222.811083888602,195.432778272604,265.174705324867,280.196948706029,254.89196103559,240.389263046583,277.972348097481,286.648959616383,278.063132597098
"VANGL1",29.2850409231316,17.0660728139921,29.8766080746918,31.1385369777925,37.1315647507172,9.26832012364861,25.9550551652062,27.8298193986958,29.3228036683639,22.767819972114,22.6848076448445
"KLHDC8A",40.9734527845621,80.0235492995577,50.5431653005001,7.02884281079384,47.2305887474509,56.17062519475,67.8793161925262,46.9904083092064,22.3768872222667,21.0151128833119,31.9023182487496
"MICALL2",47.050401170236,105.586327467307,112.035594686551,56.17062519475,61.3530575770426,49.3272114159925,94.6829530168292,118.029565505474,61.1357448414381,47.5776886242997,109.73349843189
"NABP1",1.02519522885277,1.43090482520194,1.91281148527704,3.15684625791111,0.636545697757849,1.37445805080897,0.656673661202914,1.17974303828531,1.1517068481114,3.45849639034825,12.2991227937691
"ARMCX5",56.1078754123868,38.0318220511698,51.729584827089,33.7360346799037,42.0687275733776,40.0693349261612,25.4228181684816,44.1631278120861,27.7621857272349,39.6080532056009,22.2426399618339
"ASCC1",163.925269000748,102.697503833863,138.243121105088,131.247621106503,112.309089217704,128.21732651333,194.998531219601,153.785330991861,142.207767655868,167.86846645423,171.817707058333
"C1orf159",66.1777139507829,50.3728877064978,72.1358120862374,26.5614944043503,31.7745874374328,30.2743662635128,41.2598761030667,62.1893757362903,86.1086634697906,37.750956243493,45.1738615088746
"LRRC49",195.09878951309,151.319028849734,97.6824946295029,71.4534287382553,184.535041695847,125.866334969272,89.3865359803121,147.057004628323,48.2467004843014,46.1754308059049,77.6053821888162
"EHMT1",8.95827187976605,18.5387411808312,34.5596328893382,5.06166296489127,20.2721838066591,23.3930287979492,58.8397127163897,20.7281407634808,29.1617942462379,4.9309446115355,70.5462390253629
"CASD1",228.855172735785,162.862704424555,119.940157949583,89.5216270304107,153.208230139937,130.390385954419,113.743511832893,122.0711449408,107.787742513927,86.627603902539,90.0506793841261
"CDC37L1",66.2988679666093,100.236458073414,57.6204700927624,33.1282833632803,113.053724058235,81.8601081091711,74.7819364772066,78.9247742583831,62.8291961317857,74.6324509227323,62.0250865645019
"SLC29A3",64.8700455398843,52.7800805222888,83.188956012372,28.6848937140317,45.299575977598,47.2531391550134,103.071979356185,40.0816612853987,60.7668211237688,58.2878604143902,41.3245061574659
"BOLA1",65.1429045505531,49.9265663348528,50.1309001627441,74.7513950255684,78.2563318301716,69.2699911729688,43.7207466484698,76.7196712611467,45.2687098080557,56.8339390742521,56.4209034408581
"LRFN3",57.7922070907846,47.3763678827162,36.9764492712925,9.29950564637038,16.4346138688171,54.92969692077,29.5602912723388,35.1299555996842,16.2997205102667,15.9572637356547,36.5319343625256
"NUDT15",44.1336621625039,59.5834406005219,53.2296275548657,51.357758418303,72.0866270304854,49.3005864887672,54.5156728228698,57.2865954302999,29.4970831453697,54.6868051354132,36.5781846705522
"EXOC2",33.9270205270697,54.5156728228698,56.2417534564244,54.78609271687,31.9989884061615,68.5812760461801,52.9951969453123,48.6635922540733,46.4152826400307,53.0650531624194,33.9776101400195
