"","GSM175776","GSM175777","GSM175778","GSM175779","GSM175780","GSM175781","GSM175782","GSM175783","GSM175784","GSM175785","GSM175766","GSM175767","GSM175768","GSM175769","GSM175770","GSM175771","GSM175772","GSM175773","GSM175774","GSM175775"
"EEF1E1",340.98276,225.43797,243.56439,282.6139,214.98624,267.2553,247.37898,202.26813,330.4055,261.95218,179.70792,144.1253,118.04909,123.11577,158.9096,115.48985,146.3595,127.87659,140.71718,332.7318
"IL10RA",59.48036,54.845383,51.427822,67.20184,71.87216,83.715485,75.44237,86.77626,108.650116,57.653694,180.1873,130.8563,83.675934,253.30446,142.3115,132.06863,149.2723,148.53047,124.31252,73.93042
"RAMP1",392.38623,385.1755,383.98297,476.66315,414.75818,377.4337,349.81427,502.59094,442.68304,413.31143,184.10295,239.88469,115.376465,167.46362,256.48447,151.64511,154.77585,154.43672,131.17235,117.66991
"GAS8",193.86395,192.76599,212.99863,197.17957,212.69405,195.73225,221.08772,200.38033,201.5744,175.35582,179.07533,186.766,194.06705,182.80156,162.05286,196.9254,192.8309,179.69,179.20782,167.84752
"SASH3",59.3878,45.32786,57.58012,80.95634,58.1844,74.44467,57.901566,69.09265,86.81761,57.1683,90.35006,78.40225,49.91439,148.038,99.40886,73.35037,97.84303,88.16271,69.34091,63.25854
"TLR2",69.49361,80.046974,82.34355,73.59087,64.5995,54.468082,71.32495,76.58362,71.14523,72.258575,96.718994,89.30439,61.109047,90.80819,106.589485,71.17981,78.7924,92.77977,67.24903,78.410324
"SLC10A3",121.75926,137.82042,135.3504,155.00694,117.21982,145.65166,100.63132,134.58473,129.01222,117.86915,124.0941,216.00949,152.05705,121.91519,149.89526,144.42064,160.61919,140.4497,178.00096,131.26982
"HPN",100.19169,98.64725,155.69193,81.78955,84.79654,70.618645,109.11568,107.71246,128.14272,113.53238,47.882088,43.06958,42.62583,37.51025,45.690346,41.861034,44.281834,51.461994,27.808353,35.86117
"MAP4K2",50.165573,53.9043,59.335094,64.00653,58.172718,52.44247,56.38925,53.377666,57.157425,62.041843,55.63925,52.9643,37.890846,52.4833,47.449383,47.729404,37.687454,43.590664,48.619415,72.2004
"PTPRN",33.723972,48.252754,40.141357,37.92681,33.506622,35.66826,35.26976,41.1609,39.48152,29.46719,40.41458,40.006763,27.223848,31.925594,44.75795,36.45675,31.142231,30.031254,37.213303,94.20494
"FST",114.96914,98.27667,77.14549,125.366104,88.386856,96.802315,86.47048,106.422,94.16488,99.14608,156.8849,280.73807,191.44435,122.14725,244.42477,132.64833,122.70861,179.30415,309.24008,1074.9307
"ICAM3",189.974,155.21011,239.64482,135.37163,174.96085,160.34775,214.67502,239.70985,215.07503,283.91544,190.55717,129.66745,92.443794,236.22058,211.61221,118.43762,173.87566,178.76146,144.72832,195.25545
"LYPD3",94.01382,98.35355,99.93404,188.99493,104.563255,97.00674,102.954865,104.24926,83.1941,85.20651,109.96068,123.57477,98.83605,83.92664,88.95033,99.52886,95.60618,94.87238,108.530914,82.3019
"SNAP91",56.546715,37.702087,34.63868,32.44996,40.7074,31.30659,43.61001,27.765675,36.130375,34.03747,46.795834,46.933266,43.637863,36.1988,40.208157,36.248207,32.712997,41.59247,37.708324,25.429228
"SRPX",196.03526,307.2482,223.71315,297.0513,309.74704,199.33194,260.21536,205.84995,242.75798,250.36746,344.01947,318.7602,235.35486,412.91528,456.3822,212.07283,234.20332,324.53705,364.45953,1019.5123
"MNDA",31.41932,26.351933,28.358162,34.885193,24.801376,22.491951,26.055872,28.716467,60.203682,33.17449,138.64215,112.264275,53.442917,182.79947,180.5023,76.98486,78.824265,95.25892,48.924,52.712246
"PTPRCAP",97.771675,79.046974,107.72602,104.11449,84.836815,125.04907,112.20231,94.28839,132.19174,81.80496,87.50087,112.335175,83.91904,168.69531,151.02481,82.543724,128.53162,102.24021,106.15156,80.7535
"GC",13.841288,12.851351,16.328402,17.6612,15.069311,13.317814,19.794512,15.667628,16.481665,13.738329,13.062559,14.652013,16.218416,13.234412,15.779424,16.628117,16.305395,17.141848,12.071201,14.379001
"ADGRB2",31.168444,31.048943,32.87034,24.436533,38.53325,34.74867,47.14987,44.677784,42.927296,32.456497,25.273853,32.14534,37.159725,30.884678,51.087112,37.116356,29.771502,31.142178,38.878017,30.30199
