"","GSM85215","GSM85216","GSM85217","GSM85218","GSM85219","GSM85220","GSM85221","GSM85222","GSM85223","GSM85224","GSM85225","GSM85226","GSM85227","GSM85228"
"SUMO4",72.5712862469969,91.7916039420473,76.8585613406831,92.8276359008613,77.3882932883829,76.6655749765444,72.1362723227245,91.9792253468841,87.9622565800044,86.6628504683589,125.408041601907,80.5853215149145,84.504323621341,82.6944261156887
"ZNRF4",35.7305179228156,23.8538488855767,29.2213341500159,22.5965208418981,17.1629834241874,24.1532961359556,20.9919242203755,37.2851511093275,16.3390366467509,28.9342782623827,24.9905869293984,24.5061421508015,21.2836995634998,32.7065172033642
"OR7E24",8.08238096511971,10.3063177560466,8.8454736868814,7.49713382367265,7.62316858866276,7.45633672239488,8.21641412614477,8.75439595322135,7.93381175079574,8.0381790062023,8.29263300817291,8.10415695228368,8.20589358618989,8.61944240722932
"ABCA12",12.8859162315034,12.2544611886471,10.6587065841567,8.960345128945,12.7409996691463,11.0210763713069,11.151302056042,11.3276368710511,9.43296617434162,11.6276691882408,10.4419850566694,8.85296209959609,10.2446913918882,14.1007431746041
"PRPS1L1",7.47315732639576,8.60401417763719,8.35595379709219,8.44893856176779,8.82504890761375,8.60882025076751,8.43397408728258,8.3773841943681,7.90829284213457,8.45437700802509,8.35595379709219,8.0022069637131,7.97693689142356,8.72957563993212
"SPINT3",7.78110336207123,8.52149986825764,8.21770185897095,8.07388724334741,8.52813515022942,8.82552279991125,7.87696059507038,8.50830662412235,7.65966482445162,9.29169488830444,8.15017274097745,7.3410002894144,8.38078059915805,9.32974655801747
"DIRAS3",21.9018446194902,19.6872635989692,24.7858850236722,22.6635458784144,21.877793864028,24.3427834561256,30.3849984424559,46.3568474434983,31.6721968496352,78.2460688429503,86.7407661259879,26.4835642271232,128.800135072142,53.7751335081647
"ETV2",12.3509035940498,8.33093380395012,15.2584966930118,10.1167681925535,12.9494708546794,15.7557862886862,11.3161810078218,10.703624753135,11.0403804299921,23.2410562012724,11.68104562115,17.663111731209,10.5746047147387,14.1114719013245
"HYMAI",7.79187006140495,10.4357856825539,7.64704705782907,6.87819410266445,6.90120488958582,6.0996194219742,9.09765014385754,8.42545698889927,9.37512944268692,7.62988489670845,7.83319495740515,9.0121325955214,9.67898734433173,13.0252310049721
"PHC3",45.1238446390133,41.6094882373682,53.1018991667829,43.7699600883947,37.5940675511872,43.0248208827806,42.7822105460267,43.6175334911332,44.0387939632856,47.4361509679256,46.929208137044,41.2429988724088,44.7695635416326,39.9199111275176
"SORCS3",8.73639788720974,9.52719902121239,8.86415802013762,8.40732808216619,9.25979499872137,7.46772059458746,8.65504642652675,9.40188816734073,8.5517959265894,9.18839818576748,8.86060604828678,8.18542525927485,7.54974049575949,9.45222211953114
"KHDRBS2",22.7185871825138,30.7935791771048,18.5575124637923,43.5070040638442,23.4228670105614,27.6911121438908,22.7224871804064,19.0993754332817,26.8318083688007,15.9667035547952,19.7415586440006,14.9743379370033,19.6790818244261,40.8433728728255
"ZNF492",70.4791375203502,96.220161464442,80.1959908858291,73.9342659838698,66.9393617258167,71.8935611867101,68.2858473669559,74.3642513024976,104.863012673762,60.4988733707918,72.5131891163408,64.446274599934,77.8531333611998,73.4992163085559
"HLA-DQB2",41.4531805119853,36.9671573527362,73.7441150315366,60.1940701033797,30.7361572339754,42.8571836783087,34.2735157144066,151.443753707814,39.421578455566,337.849846474505,668.922485887975,64.2966019335088,74.0476169508158,136.037051456936
"UBOX5",31.4719500686228,21.7071345764629,36.6169420608644,31.0368044688146,27.7704747480329,29.2708812963666,24.8764025413899,30.234045226604,19.6869704972125,37.7653208620377,34.0486271735249,32.1536096244941,28.6758784250215,31.9500482862506
"TSC22D2",30.5997259366778,38.0385420682018,22.2343459244298,47.7335883247123,28.5269210355786,19.5927248304361,33.104783043886,27.5369649128668,25.7774441512845,26.9581486891393,35.3539227982939,21.5119720917541,28.561969263777,29.3076952134522
"LOC101929272",8.90603653139581,7.78436069152532,72.0246486251967,9.65365357505864,7.80136253920238,8.29866675729056,8.01949704285165,7.91903836913709,7.43672780759258,58.0374469887922,9.44665146551853,9.36203073651925,8.80661077685206,8.05691743781995
"GTF2IRD2B",27.0489295006838,17.9309874726179,21.7883973264707,27.0813900052617,18.3646512709279,26.103739202638,17.7144686319048,19.3283483946048,25.1954523709829,25.5629657768784,21.7421779628319,14.5616417699617,18.595954510174,20.9097888587556
"ACVR2B-AS1",54.4358615204099,55.4074888756648,41.6877635356273,87.8579660927959,56.7751694548202,52.4140784922205,69.0185712818217,84.1563167876993,88.5840051028643,61.9001471175548,98.9023532882257,51.4216378487541,55.709892252795,120.935590796215
"ERV9-1",48.347794537114,39.8718276635024,43.0826445654137,35.6750125430259,32.2197901164569,36.7784906205075,34.0516594703057,53.7801039459146,35.9762194318509,54.7734847509216,32.3507068143941,30.0006753917883,32.4965262207073,57.9415020852976
"BRMS1",78.682268031067,63.7242849170322,98.2257931572134,77.9870685318174,107.579845560682,125.674360158661,87.9942559621228,93.6025519356524,78.0609619279144,112.177632170858,87.7737442982907,87.3941167210622,81.5362181744298,83.7455468912693
