"","GSM160404","GSM160424","GSM160427","GSM160428","GSM160429","GSM160353","GSM160358","GSM160362","GSM160391","GSM160405"
"LY9",58.7013760982964,55.0940521610229,40.5795441508424,42.3416667990484,35.3758286347753,46.2619476383814,33.4362867992151,42.9089769874342,56.6373554488246,59.7524899421694
"LOC100130331",32.0869750672043,30.8903644318817,32.5199538748526,39.6508532516268,31.782784837444,28.6866243032064,29.4841266533298,31.589001067633,30.4556676516834,28.56180312612
"ZNF721",1147.03553953293,1401.86914031565,1689.97295662283,1746.81109179104,1288.247652714,1245.49926027581,1109.90914624108,1299.52864561004,1409.79521297135,1088.0624526771
"LOC100505534",20.0996310898618,20.6740298401995,21.2695129346942,24.8626559052547,24.6951702954712,18.1758242908404,18.0876500047697,20.7717735364159,16.8892638245345,16.7228150739433
"UBXN8",135.203749105653,135.943511891577,123.614132130745,152.274651698834,165.451827464245,161.9799628404,188.794841342346,107.692777953772,90.785437137731,133.066656613033
"ARFRP1",92.8520078396612,40.1565599737752,48.5656724928251,39.0256661685211,40.5795441508424,133.053284156693,79.5765139798911,70.7990807706459,99.3923226281103,98.1176259851718
"CBX2",52.1251183292843,54.2546085757211,44.5840721036234,50.0123367935679,47.5402861576751,55.2883230260509,54.6618870623999,48.8907105841308,49.6800879922819,49.7295406525648
"CUL4B",89.82795495972,64.1611942099052,45.7827464002528,46.1748264032679,68.0328334710733,100.79005571268,87.6518687668086,63.4138546410092,100.98168291611,119.942162174236
"PRAMEF12",51.1334663693863,49.9588018944721,52.1257872535886,54.7181532283184,49.637688062759,45.3487038731037,51.096593314003,54.3464491791527,49.0176672522041,49.1030766313314
"ZXDB",28.5714233174583,27.1564618502183,29.1115786277604,33.7974756945505,25.8649689065928,28.3340244604992,23.6084648024659,25.8799161063974,26.4679344233066,26.6425519127305
"RNF5",34.566351020622,43.9422343944824,39.0346010659213,55.1350736883337,37.4532188603349,31.7184615125186,44.8686096787859,34.92576780695,31.5717969261933,38.35035472619
"GLRA3",15.6324961578483,18.2443614298296,20.5742918933702,23.5272206049344,16.3874037619086,15.330715183126,13.6296822195303,15.0951056368161,16.3897333762972,16.6923607425672
"POLE",172.806300641053,145.661853338642,282.007192301387,162.880902982078,218.624028545644,203.64739765925,234.522992041046,236.962636383278,215.689057906591,174.490152569102
"SEMG2",16.4723278552647,19.3698215640685,18.4991295292079,18.6840493819672,19.8853767555311,16.0080885263107,18.4594531665384,23.2179131086444,15.1306842391689,15.9189758921351
"JPT2",84.878644630393,45.9612725077825,45.026584347539,46.063173482235,40.2388902738546,121.587549047455,94.485168295323,63.5696516645564,69.2998758746002,120.768283304687
"ZNF280A",33.7671965711859,38.7078192325465,26.1912502593999,29.1867009760999,27.2914609596086,28.2008159097266,27.2601541976205,30.77435354847,29.2722928034823,35.2558669265281
"TCF7L2",697.671648098995,434.811330747126,388.861455220339,320.756840680776,441.179441806844,544.798368500138,313.619378703128,487.111065093438,580.818108719055,623.423786606469
"CCDC144A",12.9752235620459,16.6490672786674,17.2299543201201,20.8740935090536,16.0536448647637,14.3995312862875,12.8486997813735,12.6217759794917,13.2471068373643,14.1704613326111
"RHOBTB3",34.9471820241153,40.6870969774981,27.5329523483299,30.4753566753393,26.0342311867967,34.0969485156141,27.8905268283031,34.8853630156895,48.4642542902252,50.1035066351308
"PRINS",107.657943023109,121.854641736722,98.8279376775173,175.894394077384,111.895060290046,118.719424090067,85.0837652933767,100.098903576764,92.0828555408846,101.013584185357
"RAB3GAP2",22.0986010207673,22.2171998125139,23.1342271055661,23.7646686812616,19.3826846149577,18.626663244584,18.9767195365849,19.4936568505424,19.155388119528,18.3055344332012
"CYP2C19",22.4481490968885,17.6393825669905,19.6943097367731,26.6260312412724,16.7421809302609,18.4118523392597,21.0922270594116,20.4602950385682,18.1304938882947,21.9598031730312
"PAX3",33.1393185367764,35.461935072126,42.1057453244795,50.8050353699101,36.1695459764673,36.364883721119,29.7294463328047,35.293920905669,35.8072953182416,33.9688548656362
"DAAM1",578.679441806842,560.878240642975,395.829354252923,661.146577372059,627.370528868814,488.279441806842,724.656044405184,689.279441806842,553.647927696049,602.688271641678
"HBBP1",26.9517246373635,26.3422962664408,24.8780358312775,26.1785113599564,24.6922075657786,23.6964595384769,26.0483247192571,23.2528983898947,25.2114898989675,25.07203885588
"AGA",180.196844688985,131.520453901566,110.987879956614,181.844836600462,135.453927598016,294.179441839005,123.683550438952,105.362044379621,180.432995012263,238.606431283793
"ANKRD34C",20.3182759049708,22.3868275741418,20.8512292945009,29.5165570011443,21.2700032757381,19.0235833669647,20.115644647539,18.3886522984097,19.0020636610628,21.0002223407532
"FAM205BP",18.9671332348171,21.6338328605957,17.6636294579343,18.9958816747404,16.4223918483576,17.3324905601257,17.5841105517055,19.2294276926475,17.8152725638597,20.1739498322483
